user_id,session_id,session_date,session_time,device_type,user_segment,acquisition_channel,step_1_app_open,step_2_browse_menu,step_3_add_to_cart,step_4_checkout,step_5_payment,session_duration_minutes,order_value
user_000001,sess_20240101_000001,2024-01-10,12:27:00,iOS,New,Referral,1,1,1,0,0,3,
user_000002,sess_20240101_000002,2024-01-30,19:04:00,iOS,New,Organic,1,0,0,0,0,5,
user_000003,sess_20240101_000003,2024-01-20,19:42:00,Android,VIP,Paid Social,1,1,0,0,0,4,
user_000004,sess_20240101_000004,2024-01-20,11:27:00,Android,Returning,Organic,1,1,1,0,0,5,
user_000005,sess_20240101_000005,2024-01-13,08:24:00,iOS,Returning,Email,1,1,1,0,0,6,
user_000006,sess_20240101_000006,2024-01-06,15:33:00,Android,Returning,Email,1,0,0,0,0,6,
user_000007,sess_20240101_000007,2024-01-02,10:00:00,iOS,VIP,Email,1,1,1,0,0,1,
user_000008,sess_20240101_000008,2024-01-05,21:32:00,iOS,Returning,Email,1,1,0,0,0,1,
user_000009,sess_20240101_000009,2024-01-24,17:52:00,iOS,Returning,Referral,1,0,0,0,0,2,
user_000010,sess_20240101_000010,2024-01-19,15:33:00,iOS,New,Email,1,1,1,0,0,1,
user_000011,sess_20240101_000011,2024-01-21,06:27:00,iOS,New,Organic,1,0,0,0,0,1,
user_000012,sess_20240101_000012,2024-01-01,19:24:00,Android,VIP,Organic,1,1,0,0,0,1,
user_000013,sess_20240101_000013,2024-01-30,01:17:00,iOS,Returning,Email,1,1,1,0,0,1,
user_000014,sess_20240101_000014,2024-01-18,05:40:00,iOS,New,Email,1,1,1,0,0,3,
user_000015,sess_20240101_000015,2024-01-28,23:14:00,iOS,VIP,Referral,1,1,1,0,0,2,
user_000016,sess_20240101_000016,2024-01-17,19:09:00,iOS,New,Referral,1,0,0,0,0,2,
user_000017,sess_20240101_000017,2024-01-13,19:29:00,iOS,VIP,Email,1,1,1,0,0,6,
user_000018,sess_20240101_000018,2024-01-20,23:50:00,Android,Returning,Referral,1,1,1,0,0,5,
user_000019,sess_20240101_000019,2024-01-28,02:43:00,iOS,VIP,Organic,1,1,1,0,0,1,
user_000020,sess_20240101_000020,2024-01-09,23:07:00,Android,VIP,Paid Social,1,1,1,1,0,1,
user_000021,sess_20240101_000021,2024-01-31,06:12:00,iOS,New,Organic,1,1,0,0,0,7,
user_000022,sess_20240101_000022,2024-01-23,03:29:00,Android,Returning,Referral,1,1,0,0,0,5,
user_000023,sess_20240101_000023,2024-01-14,11:30:00,Android,VIP,Organic,1,1,1,0,0,7,
user_000024,sess_20240101_000024,2024-01-26,19:17:00,Android,Returning,Paid Social,1,1,1,0,0,2,
user_000025,sess_20240101_000025,2024-01-12,00:02:00,Android,New,Organic,1,0,0,0,0,1,
user_000026,sess_20240101_000026,2024-01-24,11:24:00,Android,New,Organic,1,1,1,0,0,10,
user_000027,sess_20240101_000027,2024-01-30,15:49:00,iOS,VIP,Organic,1,1,0,0,0,4,
user_000028,sess_20240101_000028,2024-01-07,15:54:00,iOS,New,Paid Social,1,1,0,0,0,6,
user_000029,sess_20240101_000029,2024-01-22,07:42:00,Android,Returning,Referral,1,1,0,0,0,3,
user_000030,sess_20240101_000030,2024-01-09,21:33:00,iOS,Returning,Referral,1,1,0,0,0,1,
user_000031,sess_20240101_000031,2024-01-30,23:12:00,iOS,Returning,Email,1,1,0,0,0,2,
user_000032,sess_20240101_000032,2024-01-26,22:56:00,Android,VIP,Organic,1,0,0,0,0,6,
user_000033,sess_20240101_000033,2024-01-30,05:12:00,Android,New,Organic,1,1,1,0,0,3,
user_000034,sess_20240101_000034,2024-01-05,23:43:00,Android,Returning,Email,1,1,0,0,0,6,
user_000035,sess_20240101_000035,2024-01-16,04:24:00,iOS,Returning,Referral,1,1,0,0,0,4,
user_000036,sess_20240101_000036,2024-01-02,13:36:00,iOS,Returning,Organic,1,0,0,0,0,4,
user_000037,sess_20240101_000037,2024-01-10,14:37:00,iOS,Returning,Organic,1,0,0,0,0,6,
